,UniProtId,EnsemblGeneId
121,Q9UBS5,ENSG00000206511
122,Q9UBS5,ENSG00000232632
123,Q9UBS5,ENSG00000237112
124,Q9UBS5,ENSG00000232569
125,Q9UBS5,ENSG00000237051
126,Q05940,ENSG00000165646
127,P32239,ENSG00000110148
128,P43681,ENSG00000101204
129,P20309,ENSG00000133019
130,P14867,ENSG00000022355
131,P47869,ENSG00000151834
132,P34903,ENSG00000011677
133,P48169,ENSG00000109158
134,P31644,ENSG00000186297
135,Q16445,ENSG00000145863
136,P18505,ENSG00000163288
137,P47870,ENSG00000145864
138,P28472,ENSG00000166206
139,O14764,ENSG00000187730
140,P78334,ENSG00000102287
141,Q8N1C3,ENSG00000163285
142,P18507,ENSG00000113327
143,Q99928,ENSG00000182256
144,O00591,ENSG00000094755
145,Q9UN88,ENSG00000268089
146,P08588,ENSG00000043591
147,P20711,ENSG00000132437
148,P23975,ENSG00000103546
149,Q14524,ENSG00000183873
150,P35372,ENSG00000112038
151,P37231,ENSG00000132170
152,P30542,ENSG00000163485
153,Q9GZZ6,ENSG00000129749
154,O76074,ENSG00000138735
155,Q12809,ENSG00000055118
156,P00374,ENSG00000228716
157,Q9H244,ENSG00000169313
158,P11229,ENSG00000168539
159,P10826,ENSG00000077092
160,P35348,ENSG00000120907
161,P00797,ENSG00000143839
162,P20648,ENSG00000105675
163,Q13621,ENSG00000074803
164,P28221,ENSG00000179546
165,P08913,ENSG00000150594
166,P18089,ENSG00000274286
167,P18825,ENSG00000184160
168,Q14654,ENSG00000187486
169,P54289,ENSG00000153956
170,Q14432,ENSG00000172572
171,P23921,ENSG00000167325
172,P35498,ENSG00000144285
173,Q9Y5Y9,ENSG00000185313
174,Q9UI33,ENSG00000168356
175,Q99250,ENSG00000136531
176,Q9NY46,ENSG00000153253
177,P35499,ENSG00000007314
178,Q01118,ENSG00000136546
179,Q9UQD0,ENSG00000196876
180,Q15858,ENSG00000169432
181,Q07699,ENSG00000105711
182,O60939,ENSG00000149575
183,Q9NY72,ENSG00000166257
184,Q8IWT1,ENSG00000177098
185,P14416,ENSG00000149295
186,P41595,ENSG00000135914
187,P03372,ENSG00000091831
188,Q9BQB6,ENSG00000167397
189,P35462,ENSG00000151577
190,Q13936,ENSG00000151067
191,Q13936,ENSG00000285479
192,P25021,ENSG00000113749
193,P10827,ENSG00000126351
194,P14324,ENSG00000160752
195,P35367,ENSG00000196639
196,O43451,ENSG00000257335
197,P43088,ENSG00000122420
198,P18858,ENSG00000105486
199,P04818,ENSG00000176890
200,P06401,ENSG00000082175
201,P19793,ENSG00000186350
202,Q9H4B7,ENSG00000101162
203,P00915,ENSG00000133742
204,P45954,ENSG00000196177
205,P28222,ENSG00000135312
206,Q15185,ENSG00000110958
207,P21964,ENSG00000093010
208,P16066,ENSG00000169418
209,Q9Y478,ENSG00000111725
210,P28223,ENSG00000102468
211,P42345,ENSG00000198793
212,P08172,ENSG00000181072
213,P08173,ENSG00000180720
214,P08912,ENSG00000184984
215,Q06432,ENSG00000108878
216,O43497,ENSG00000006283
217,P32754,ENSG00000158104
218,P48048,ENSG00000151704
219,P21728,ENSG00000184845
220,Q12791,ENSG00000156113
221,P11511,ENSG00000137869
222,P00439,ENSG00000171759
223,P07437,ENSG00000196230
224,P07437,ENSG00000183311
225,P07437,ENSG00000235067
226,P07437,ENSG00000224156
227,P07437,ENSG00000229684
228,P07437,ENSG00000227739
229,P07437,ENSG00000232421
230,P07437,ENSG00000232575
231,P0DJD9,ENSG00000256713
232,P43119,ENSG00000160013
233,P46098,ENSG00000166736
234,P11388,ENSG00000131747
235,P22303,ENSG00000087085
236,P51170,ENSG00000166828
237,P07202,ENSG00000115705
238,P05023,ENSG00000163399
239,P15056,ENSG00000157764
240,P32238,ENSG00000163394
241,P01008,ENSG00000117601
242,Q15822,ENSG00000120903
243,Q16739,ENSG00000148154
244,P08235,ENSG00000151623
245,Q01959,ENSG00000142319
246,Q01959,ENSG00000276996
247,P34995,ENSG00000160951
248,P33402,ENSG00000152402
249,P55017,ENSG00000070915
250,P47989,ENSG00000158125
251,P41145,ENSG00000082556
252,P04070,ENSG00000115718
253,P24046,ENSG00000146276
254,P21554,ENSG00000118432
255,Q9Y271,ENSG00000173198
256,Q96SW2,ENSG00000113851
257,P34972,ENSG00000188822
258,P08908,ENSG00000178394
259,P10275,ENSG00000169083
260,Q99720,ENSG00000147955
261,Q71U36,ENSG00000167552
262,P07550,ENSG00000169252
263,P05981,ENSG00000105707
264,P10276,ENSG00000131759
265,Q14353,ENSG00000130005
266,P00813,ENSG00000196839
267,Q15878,ENSG00000198216
268,P25101,ENSG00000151617
269,O14649,ENSG00000171303
270,Q9H015,ENSG00000197208
271,P37088,ENSG00000111319
272,P14679,ENSG00000077498
273,O75311,ENSG00000145451
274,Q13639,ENSG00000164270
275,P09210,ENSG00000244067
276,P08473,ENSG00000196549
277,Q9P0X4,ENSG00000100346
278,P11274,ENSG00000186716
279,P49019,ENSG00000255398
280,P09884,ENSG00000101868
281,Q07869,ENSG00000186951
282,P29274,ENSG00000128271
283,P15538,ENSG00000160882
284,Q07343,ENSG00000184588
285,Q01668,ENSG00000157388
286,O60840,ENSG00000102001
287,Q13698,ENSG00000081248
288,Q02641,ENSG00000067191
289,Q08289,ENSG00000165995
290,P54284,ENSG00000167535
291,O00305,ENSG00000182389
292,O00555,ENSG00000141837
293,Q09428,ENSG00000006071
294,P25103,ENSG00000115353
295,P09038,ENSG00000138685
296,P20839,ENSG00000106348
297,P06310,ENSG00000243238
298,P06310,ENSG00000281933
299,P41143,ENSG00000116329
300,P01130,ENSG00000130164
301,P21917,ENSG00000069696
302,P21917,ENSG00000276825
303,Q9NYK1,ENSG00000196664
304,Q14534,ENSG00000104549
305,P27338,ENSG00000069535
306,P28702,ENSG00000204231
307,P28702,ENSG00000206289
308,P28702,ENSG00000228333
309,P28702,ENSG00000235712
310,P28702,ENSG00000231321
311,P28702,ENSG00000227322
312,P55011,ENSG00000064651
313,P11387,ENSG00000198900
314,P43116,ENSG00000125384
315,P06276,ENSG00000114200
316,P43166,ENSG00000168748
317,P08514,ENSG00000005961
318,P21397,ENSG00000189221
319,P03956,ENSG00000196611
320,P52209,ENSG00000142657
321,P21918,ENSG00000169676
322,P05091,ENSG00000111275
323,P27815,ENSG00000065989
324,Q7Z2W7,ENSG00000144481
325,P32297,ENSG00000080644
326,P13716,ENSG00000148218
327,P62942,ENSG00000088832
328,P00918,ENSG00000104267
329,Q05586,ENSG00000176884
330,Q12879,ENSG00000183454
331,Q13224,ENSG00000273079
332,Q14957,ENSG00000161509
333,O15399,ENSG00000105464
334,Q8TCU5,ENSG00000198785
335,O60391,ENSG00000116032
336,P68871,ENSG00000244734
