"id","Symbol","EnsemblID","Synonyms"
"37758","FA2H","ENSG00000103089","FAAH"
"37759","FA2H","ENSG00000103089","FAH1"
"37760","FA2H","ENSG00000103089","FAXDC1"
"37761","FA2H","ENSG00000103089","SCS7"
"37762","FA2H","ENSG00000103089","SPG35"
"37763","GDPD3","ENSG00000102886","GDE7"
"37764","DHRS11","ENSG00000278535","ARPG836"
"37765","DHRS11","ENSG00000278535","SDR24C1"
"37766","DHRS11","ENSG00000278535","spDHRS11"
"37767","TNIP2","ENSG00000168884","ABIN2"
"37768","TNIP2","ENSG00000168884","FLIP1"
"37769","TNIP2","ENSG00000168884","KLIP"
"37770","PLEKHF1","ENSG00000166289","APPD"
"37771","PLEKHF1","ENSG00000166289","LAPF"
"37772","PLEKHF1","ENSG00000166289","PHAFIN1"
"37773","PLEKHF1","ENSG00000166289","ZFYVE15"
"37774","MFSD11","ENSG00000092931","ET"
"37775","GNPTAB","ENSG00000111670","GNPTA"
"37776","GNPTAB","ENSG00000111670","ICD"
"37777","LINC01711","ENSG00000268941","-"
"37778","TMEM243","ENSG00000135185","C7orf23"
"37779","TMEM243","ENSG00000135185","MM-TRAG"
"37780","TMEM243","ENSG00000135185","MMTRAG"
"37781","LENG1","ENSG00000105617","-"
"37782","LILRP2","ENSG00000170858","CD85m"
"37783","LILRP2","ENSG00000170858","ILT10"
"37784","LILRP2","ENSG00000170858","LILRA5"
"37785","LILRA6","ENSG00000244482","CD85b"
"37786","LILRA6","ENSG00000244482","ILT-8"
"37787","LILRA6","ENSG00000244482","ILT5"
"37788","LILRA6","ENSG00000244482","ILT8"
"37789","LILRA6","ENSG00000244482","LILRB3"
"37790","LILRA6","ENSG00000244482","LILRB6"
"37791","C1orf35","ENSG00000143793","MMTAG2"
"37792","PRR15L","ENSG00000167183","ATAD4"
"37793","RBM42","ENSG00000126254","-"
"37794","CENPO","ENSG00000138092","CENP-O"
"37795","CENPO","ENSG00000138092","ICEN-36"
"37796","CENPO","ENSG00000138092","MCM21R"
"37797","C19orf57","ENSG00000132016","-"
"37798","CRELD2","ENSG00000184164","-"
"37799","FBXL15","ENSG00000107872","FBXO37"
"37800","FBXL15","ENSG00000107872","Fbl15"
"37801","FBXL15","ENSG00000107872","JET"
"37802","FBXL15","ENSG00000107872","PSD"
"37803","EFHD2","ENSG00000142634","SWS1"
"37804","TTPAL","ENSG00000124120","C20orf121"
"37805","BRCC3","ENSG00000185515","BRCC36"
"37806","BRCC3","ENSG00000185515","C6.1A"
"37807","BRCC3","ENSG00000185515","CXorf53"
"37808","FSD1","ENSG00000105255","GLFND"
"37809","FSD1","ENSG00000105255","MIR1"
"37810","TMEM43","ENSG00000170876","ARVC5"
"37811","TMEM43","ENSG00000170876","ARVD5"
"37812","TMEM43","ENSG00000170876","EDMD7"
"37813","TMEM43","ENSG00000170876","LUMA"
"37814","IRX3","ENSG00000177508","IRX-1"
"37815","IRX3","ENSG00000177508","IRXB1"
"37816","IRX1","ENSG00000170549","IRX-5"
"37817","IRX1","ENSG00000170549","IRXA1"
"37818","THOC6","ENSG00000131652","WDR58"
"37819","THOC6","ENSG00000131652","fSAP35"
"37820","ZNF557","ENSG00000130544","-"
"37821","MMEL1","ENSG00000142606","MMEL2"
"37822","MMEL1","ENSG00000142606","NEP2"
"37823","MMEL1","ENSG00000142606","NEPII"
"37824","MMEL1","ENSG00000142606","NL1"
"37825","MMEL1","ENSG00000142606","NL2"
"37826","MMEL1","ENSG00000142606","SEP"
"37827","DCAF10","ENSG00000122741","WDR32"
"37828","OR2AD1P","ENSG00000223677","OR2AD1"
"37829","OR2AD1P","ENSG00000223677","hs6M1-8P"
"37830","CPLANE2","ENSG00000132881","C1orf89"
"37831","CPLANE2","ENSG00000132881","RSG1"
"37832","ZXDC","ENSG00000070476","ZXDL"
"37833","BHLHE41","ENSG00000123095","BHLHB3"
"37834","BHLHE41","ENSG00000123095","DEC2"
"37835","BHLHE41","ENSG00000123095","FNSS1"
"37836","BHLHE41","ENSG00000123095","SHARP1"
"37837","BHLHE41","ENSG00000123095","hDEC2"
"37838","HMGN5","ENSG00000198157","NBP-45"
"37839","HMGN5","ENSG00000198157","NSBP1"
"37840","FCRL2","ENSG00000132704","CD307b"
"37841","FCRL2","ENSG00000132704","FCRH2"
"37842","FCRL2","ENSG00000132704","IFGP4"
"37843","FCRL2","ENSG00000132704","IRTA4"
"37844","FCRL2","ENSG00000132704","SPAP1"
"37845","FCRL2","ENSG00000132704","SPAP1A"
"37846","FCRL2","ENSG00000132704","SPAP1B"
"37847","FCRL2","ENSG00000132704","SPAP1C"
"37848","B3GNT4","ENSG00000176383","B3GN-T4"
"37849","B3GNT4","ENSG00000176383","beta3Gn-T4"
"37850","BCL2L14","ENSG00000121380","BCLG"
"37851","NOX5","ENSG00000255346","-"
"37852","GLB1L","ENSG00000163521","-"
"37853","KREMEN2","ENSG00000131650","KRM2"
"37854","ZBED2","ENSG00000177494","-"
"37855","LRFN3","ENSG00000126243","FIGLER1"
"37856","LRFN3","ENSG00000126243","SALM4"
"37857","CYBC1","ENSG00000178927","C17orf62"
"37858","CYBC1","ENSG00000178927","Eros"
"37859","LRRC2","ENSG00000163827","-"
"37860","FYCO1","ENSG00000163820","CATC2"
"37861","FYCO1","ENSG00000163820","CTRCT18"
"37862","FYCO1","ENSG00000163820","RUFY3"
"37863","FYCO1","ENSG00000163820","ZFYVE7"
"37864","BIRC7","ENSG00000101197","KIAP"
"37865","BIRC7","ENSG00000101197","LIVIN"
"37866","BIRC7","ENSG00000101197","ML-IAP"
"37867","BIRC7","ENSG00000101197","MLIAP"
"37868","BIRC7","ENSG00000101197","RNF50"
"37869","WDR25","ENSG00000176473","C14orf67"
"37870","ULBP3","ENSG00000131019","N2DL-3"
"37871","ULBP3","ENSG00000131019","NKG2DL3"
"37872","ULBP3","ENSG00000131019","RAET1N"
"37873","RIPOR1","ENSG00000039523","FAM65A"
"37874","MAIP1","ENSG00000162972","C2orf47"
"37875","NKAIN1","ENSG00000084628","FAM77C"
"37876","GCC1","ENSG00000179562","GCC1P"
"37877","GCC1","ENSG00000179562","GCC88"
"37878","ATP13A3","ENSG00000133657","AFURS1"
"37879","TTC13","ENSG00000143643","-"
"37880","EPS8L3","ENSG00000198758","EPS8R3"
"37881","EPS8L3","ENSG00000198758","HYPT5"
"37882","ABHD8","ENSG00000127220","-"
"37883","NKAP","ENSG00000101882","MRXSHD"
"37884","CDC73","ENSG00000134371","C1orf28"
"37885","CDC73","ENSG00000134371","FIHP"
"37886","CDC73","ENSG00000134371","HPTJT"
"37887","CDC73","ENSG00000134371","HRPT1"
"37888","CDC73","ENSG00000134371","HRPT2"
"37889","CDC73","ENSG00000134371","HYX"
"37890","SLC52A2","ENSG00000185803","BVVLS2"
"37891","SLC52A2","ENSG00000185803","D15Ertd747e"
"37892","SLC52A2","ENSG00000185803","GPCR41"
"37893","SLC52A2","ENSG00000185803","GPR172A"
"37894","SLC52A2","ENSG00000185803","PAR1"
"37895","SLC52A2","ENSG00000185803","RFT3"
"37896","SLC52A2","ENSG00000185803","RFVT2"
"37897","SLC52A2","ENSG00000185803","hRFT3"
"37898","SPAG16","ENSG00000144451","PF20"
"37899","SPAG16","ENSG00000144451","WDR29"
"37900","CHPF","ENSG00000123989","CHSY2"
"37901","CHPF","ENSG00000123989","CSS2"
"37902","CARS2","ENSG00000134905","COXPD27"
"37903","CARS2","ENSG00000134905","cysRS"
"37904","RNF128","ENSG00000133135","GRAIL"
"37905","MRPL24","ENSG00000143314","L24mt"
"37906","MRPL24","ENSG00000143314","MRP-L18"
"37907","MRPL24","ENSG00000143314","MRP-L24"
"37908","ARMH3","ENSG00000120029","C10orf76"
"37909","MUL1","ENSG00000090432","C1orf166"
"37910","MUL1","ENSG00000090432","GIDE"
